username,tanggal,sentimen,tweet
GoSumutdotcom,3/7/2022 11:26,netral,wabup samosir bantu sosial covid 19 henti vaksin
GeganaRiau,3/7/2022 11:25,netral,cepat vaksinasi covid 19 lansia personel detasemen gegana satu brimob polda riau ajak warga usia humanis vaksin center rumah sakit bhayangkara polda riau lengkap
afi_kusumo,3/7/2022 11:24,netral,menteri koordinator bidang maritim investasi menko marves luhut binsar pandjaitan tentu laku tumpang jalur darat laut udara tentu laku orang terima dosis vaksin covid 19
AbdulLatif_BE,3/7/2022 11:24,negatif,duh moga alami nyanyi anti vaksin hana horka republik ceko tinggal sengaja tular covid 19
iina_surbakti,3/7/2022 11:22,negatif,posting judul ee guys tentu laku orang terima dosis vaksin covid 19 yaa
D_N4bil5,3/7/2022 11:18,netral,menteri badan usaha milik negara bumn erick thohir world health organization who sinyal jadi indonesia hub pusat produksi vaksin covid 19 asia tenggara denganetmerdekaberdaulat
AurelNovelia,3/7/2022 11:16,netral,total beri vaksin dosis indonesia kamis 30 9 capai 24 54 target menujuendemicovid ag4ever
edisisiasatMYS,3/7/2022 11:14,netral,jual vaksin sijil lengkap dosis datang asing izin covid sijil
sugito_813,3/7/2022 11:13,netral,video viral jagat maya twitter anak baju seragam sampai dengan narasi asal suku badui lebak banten tahan hadap jarum suntik vaksin covid 19
IzcaFaeyza,3/7/2022 11:10,negatif,vaksin covid 19 jangkit gejala covid 19 serius february maret sakit
scienceprank20,3/7/2022 11:09,negatif,ristianto dishare tl salah covid idiot salah x suntik pound uk vaksin covid dishare media as salah aku lupa
ahmad_chm,3/7/2022 11:09,positif,alhamdulillah moga atur cepat pandemi covid cepat hilang bumi pertiwi hindar tular covid
magiccsenja,3/7/2022 11:04,negatif,bos super nyebelin banget vaksinbooster izin kota ya susah bidang acara pisah jatim bener larang parah covid huft muak
JSCLab,3/7/2022 10:57,positif,kota pintar sih ampuh vaksinbooster lindung tubuh lawan covid 19 cari lengkap artikel ya jakartasmartcity vaksinasi vaksinasicovid19
selvijn_ellias,3/7/2022 10:55,netral,syarat tes polymerase chain reaction antigen jalan domestik hapus laku orang terima dosis vaksin covid 19
azharamin312,3/7/2022 10:49,netral,pesawat wajib tes covid 19 vaksin lengkap cakap pikir buat cakap
GratisTerbaik,3/7/2022 10:48,negatif,definisi vaksin covid gagal tingkat individu rentan sakit cidera mati pasca prosedur nirlogika
Mans__I6,3/7/2022 10:44,negatif,asing operasi kuasa pimpin nikmat mahasiswa nya tidur mimpi dprnya asik jatah bulan kian rakyat generasi terus bangsa mati covid vaksin uji ulama ditakutin intimidasi
sapotahuenak,3/7/2022 10:42,positif,aku suami puji tuhan perna kena covid heran anak 6 3 positif covid vaksin 4 kali tahan hadap covid
sekte_covid,3/7/2022 10:41,netral,sedia alat tes tip sedia vaksin
Radar_Cirebon,3/7/2022 10:30,netral,vaksin sinovac pilih malaysia hasil uji klinik nyata anak 5 vaksin pakai sinovac
KibataraK,3/7/2022 10:23,negatif,kemendag rakyat minyak goreng rela2 antri harga minyak goreng murah partai2 tugas vaksin covid 19
lawancovid19_id,3/7/2022 10:15,netral,informasi kait covid 19 kunjung situs resmi tangan covid 19 pulih ekonomi nasional informasi vaksin covid 19 sedia indonesiabangkit semuawajibpakaimasker pakaimasker cepatvaksin
YarKusworo,3/7/2022 10:11,netral,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster sumber
titiktitikblank,3/7/2022 10:07,netral,vaksin sedia mesti manfaat kadaluarsa warga indonesia negara vaksin covid 19 sehat adadikompas
711Yonif,3/7/2022 10:06,netral,program vaksinasi tahap tiga anggota satgas pamtas ri png yonif 711 raksatama jayapura satgas pamtas ri png yonif 711 rks laksana vaksinasi covid 19 tahap tiga vaksinbooster tempat poliklinik polres keerom kabupaten keerom jayapura
D_N4bil5,3/7/2022 10:06,netral,erick thohir sinergitas kemen bumn kemen sehat kemen negeri kunci percaya who percaya indonesia vaksin mrna denganetmerdekaberdaulat
Rakyat_Merdeka9,3/7/2022 10:05,netral,vaksin lengkap coming soon pesawat ka tes covid booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Rakyat_Merdeka9,3/7/2022 10:05,netral,aktif covid 19 jakarta turun 800 bor tinggal 29 persen booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
beritamanado,3/7/2022 10:05,netral,berita baru kabar lengkap vaksin antigen polymerase chain reaction tes antigen tes polymerase chain reaction vaksinasi covid
tribunpontianak,3/7/2022 10:02,netral,luhut binsar panjaitan warga vaksin dosis bukti tes antigen polymerase chain reaction negatif covid 19 covid terbang polymerase chain reaction antigen
tobiin,3/7/2022 10:01,netral,tes covid syarat jalan vaksin hapus
Nnattassa,3/7/2022 10:00,netral,mis c salah sakit serius akibat jangkit covid 19 kalang kanak2 mis c bawa bahaya maut tujuh kes sah tinggal dunia akibat mis c dapat vaksin covid 19 kanak kanak umur 5 11
nnadyaap,3/7/2022 9:58,netral,vaksin tiket bebas covid booster kena sedih senang berita
ameenshh,3/7/2022 9:56,positif,ramai positif covid untung vaksin vaksin selamat jangkit moga sehat sembuh moga uji hilang allah kuat may allah lindung tinggal simpan
EdwarFeggy,3/7/2022 9:53,netral,airlangga hartarto tonton motogp mandalika tes covid 19 pasuk tribun tonton tempobisnis
republikaonline,3/7/2022 9:52,netral,perintah target 208 265 720 orang sasar vaksinasi covid 19
riskymayang,3/7/2022 9:51,negatif,s a kerepot vaksinbooster covid travel philippines eh nerima pedulilindungi mau nerima sertifikat pakai buku kuning sertifikat covid dipindahin kesini buku didapet meningitis or
azkadotid,3/7/2022 9:51,netral,asyik laku jalan domestik vaksin covid 19 lengkap syarat antigen polymerase chain reaction
YarKusworo,3/7/2022 9:47,netral,fakta vaksin covid 19
wepe20_,3/7/2022 9:42,netral,nanya vaksin astrazeneca booster nunggu nunggu 6 pasca covid pasca vaksinkedua
lokapomsanggau,3/7/2022 9:38,netral,sahabatbpom 2 februari 2022 badan pom tuju izin guna darurat tambah regimen booster homolog vaksin covid 19 sinopharm
BrimobKepri,3/7/2022 9:30,netral,gerai vaksin presisi masyarakat lapas rutan barelang rangka dukung program perintah putus cepat sebar virus covid 19 senin 7 maret 2022
Beritasatu,3/7/2022 9:26,positif,vaksin covid 19 cepat dapat vaksin baik baca lengkap vaksinasi
kompascom,3/7/2022 9:23,netral,kadaluarsa 2 500 vaksin astrazeneca habis 25 februari panjang bulan
dinkesJKT,3/7/2022 9:19,positif,sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster ikut syarat laku vaksinasibooster gencar indonesia hadap varian covid 19 ter
Humasressanggau,3/7/2022 9:18,netral,giat vaksinasi massal covid 19 gerai vaksin presisi polres sanggau sunti 1 2 alokasi vaksin polri rangka dukung program cepat vaksinasi nasional laksana desa balai nanga camat kapuas kabupaten sanggau
StopPlandemit,3/7/2022 9:14,negatif,apa vaksin covid nya tangkap tikus rumah bakar rumah
KATADATAcoid,3/7/2022 9:12,netral,menko marves luhut binsar pandjaitan perintah hapus syarat tes covid 19 polymerase chain reaction antigen laku jalan darat laut udara negeri terima vaksin corona dosis lengkap
karirpurwokerto,3/7/2022 9:03,netral,lowong kerja pt tah sung hung posisi customs staf kualifikasi didik minimal s1 jurus operasi komputer tim wajib vaksin covid dosis 2 lengkap v
theAnwariah,3/7/2022 9:01,netral,bhnasional uji jaya calon vaksin covid 19 keluar 2024
PeneranganKlang,3/7/2022 9:00,netral,kaji kini pulih malaysia 90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap japenselangor pulih menang sama lindungdirilindungsemua keluargamalaysia jabatanpenerangan
TrianiNeehan,3/7/2022 8:59,netral,upp kab bantaeng laksana giat sambang himbauan vaksin covid 19 desa papan kamu sosialisasi sapu bersih pungut liar media masker personil logo saber pungli pemda
FitRadioBandung,3/7/2022 8:57,positif,jubir vaksinasi covid 19 kemenkes siti nadia ajak masyarakat lengkap dosis vaksinasi kelompok kebal bentuk jurnal medis sebut vaksin covid 19 efektif staysafe stayfitforlife
leemarker916,3/7/2022 8:55,netral,daftar paspor orang asing sertif vaksin hasil negatif covid tongkat cahaya
pmrmarang,3/7/2022 8:54,netral,faktor kanak kanak 5 12 sunti vaksin covid 19 menang sama lindungdirilindungsemua keluargamalaysia jabatanpenerangan jabat terang daerah marang
cutsarah,3/7/2022 8:54,netral,masyarakat indonesia suntik vaksin covid 19 dosis tambah tembus 147 8 juta orang coronavirusupdates vaccinessavelives covidisnotover
machbeach,3/7/2022 8:53,netral,oh pakai syarat guna vaksin bebas covid beda vaksin
19yudith,3/7/2022 8:50,netral,id dasamuka lawan berita palsu vaksin covid 19 stop sebar temu konten valid sumber
19yudith,3/7/2022 8:49,netral,sebar berita palsu vaksin covid 19 media sosial
rakyatmerdeka,3/7/2022 8:48,netral,as donasi 3 5 juta vaksin covid 19 indonesia
AriD3AngeL,3/7/2022 8:47,netral,baca berita wajib vaksin milik asuransi sehat tutup covid 19
redaksisuma,3/7/2022 8:44,netral,iring turun covid 19 negara negara longgar batas jalan wisatawan covid 19 vaksin wisatawan sumaid
beritacovid,3/7/2022 8:44,netral,giat pangamanan damping giat vaksin covid 19 dosis 1 2 wilayah camat jogorogo kab ngawi polres ngawi polri covid covid 19
beritacovid,3/7/2022 8:44,netral,tilang vaksin razia kartu vaksin covid 19 news covid covid 19
prilempril,3/7/2022 8:43,netral,vaksin wajib pakai masker masjid jaga jarak laku wisata milik asuransi mengcover biaya papar covid arab saudi dar info malas baca berita
AbdulLa10661712,3/7/2022 8:39,netral,rt kaji kini pulih malaysia 90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap pulih menang sama lindungdirilindungsemua keluargamalaysia
agungyuswanto,3/7/2022 8:37,netral,mohon tunjuk dokter vaksin meningitis vaksinbooster covid 19 jumat vaksin covid 3 pfizer 1 2 dosis gejala ikut serius pegal sunti berangkat umrah tanggal 22 maret
disparbud_jabar,3/7/2022 8:34,netral,admin ya vaksinbooster positif covid 19 vaksin lho warga jabar
KAI121,3/7/2022 8:33,positif,kapasitas kereta batas padat pandemi covid 19 kai komitmen cegah sebar covid 19 terap protokol sehat ketat tumpang ka wajib vaksin 2
dytiaaurinh,3/7/2022 8:32,negatif,laa zikir vaksin ramai sakit sakit ramai vaksin kaya bagus ramai sakit kena covid admin rumah sakit jemaah
RakyatSulsel,3/7/2022 8:28,negatif,angka mati covid makassar danny 95 persen vaksin
rdi971,3/7/2022 8:27,netral,daftar aplikasi jaki mister aladin walk in langsung pkl 13 00 wib sedia vaksin mncpeduli vaksinboostergratis bersamamnclawancorona
balaip2p_sum2,3/7/2022 8:24,positif,laksana beri vaksin covid 19 merk pfizer vaksinbooster salah upaya cegah henti sebar coronavirus disease sigapmembangunnegeri rumah
polsekkuta,3/7/2022 8:21,netral,ayoo sobat polri vaksin covid 19 lengkap
rusma_warti,3/7/2022 8:18,netral,akselerasi capai vaksinasi covid 19 rumkit bhayangkara layan vaksin kantor dinas esdm kota palangka raya
bulan_semesta,3/7/2022 8:18,netral,vaksinasi door ya door gelar kawasan aren jaya bekas timur kota bekas giat 100 warga terima vaksin covid 19 dosis 1 2 booster
agung_alay,3/7/2022 8:17,netral,bukti kendali covid 19 aku dunia cakep vaksin vaksinmaret
Karunia831,3/7/2022 8:13,netral,halaman who aman vaksin tanggulang jadi ikut pasca imunisasi vaksin covid 19 kandung ethyl mercury
denni_sauya,3/7/2022 8:13,netral,dania sauya stop berita palsu covid 19 vaksin pasukansemut jalinpersatuan
Karunia831,3/7/2022 8:11,negatif,booster ke3 jab ke5 vaksin khusus jadi ikut pasca imunisasi apa vaksin pabrik april produksi opung menang kalah who bilang covid who indo produsen vaksin
Karunia831,3/7/2022 8:08,negatif,tinggal pasca vaksin komorbid non komorbid aku jadi ikut pasca imunisasi jadi alas komorbid nya covid vaksin salah
Karunia831,3/7/2022 8:07,negatif,mandatory vaksin bukti solusi halau pandemi masyarakat dunia paksa terima sunti covid jadi ikut pasca imunisasi ringan mati vaksin kadaluarsa virus update kabar varian omicron ba1 lahir baby omicron ba2 stopwajibvaksinanak
mat4g13,3/7/2022 8:03,netral,amal norma ambil vaksin covid 19 sarawak norma pakai masker muka jaga jarak cuci tangan air sabun hand sanitizer sumber jabat sehat negeri sarawak rasmi anms
mat4g13,3/7/2022 8:03,netral,rt beri vaksinasi sinovac kanak kanak 7hb mac 2022 rujuk catat ppv pilih halaman sawang
mat4g13,3/7/2022 8:03,netral,rt nyata media menteri sehat malaysia beri vaksin sinovac kanak kanak 5 11 bawah program imunisasi covid 19 bangsa kanak kanak
PolresPdgPRM,3/7/2022 7:55,netral,mari patuh protokol sehat vaksin hindar bahaya sebar covid 19 polrespadangpariaman cepatdekatbersahabat patriotdigitalpolri adaptasikebiasaanbaru
HumasPolresLB,3/7/2022 7:54,netral,ayo ragu suntik vaksin covid 19 vaksin lindung disiplin terap protokol sehat vaksin yaa
timescoid,3/7/2022 7:50,netral,rekomendasi panjang vaksin covid 19 kadaluarsa dinas sehat dinkes kota malang catat 2 500 dosis vaksin covid 19 merek astrazeneca kadaluarsa beritabaik timesindonesia ketahananinformasi
Rei_Dania,3/7/2022 7:49,netral,dania sauya stop berita palsu covid 19 vaksin pasukansemut jalinpersatuan
p023456,3/7/2022 7:46,netral,rugi produsen kopi tambah paracetamol viagra kopi sachet ada2 kerja badan stempel vaksin covid setor usaha vaksin covid kah produk makan minum stempel bpom gantung konsumen
YoyokSubandriy3,3/7/2022 7:42,netral,vaksin covid 19 warga kapanewon wates sambut kartini 2022 lurah banyuroto nanggulan kulonprogo 07 03 2022
YoyokSubandriy3,3/7/2022 7:40,netral,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster
bsi_jtw,3/7/2022 7:33,positif,hai sobat bsi dukung program perintah cegah sebar tingkat covid 19 indonesia universitas bina sarana informatika ubsi sentra vaksinasibooster covid 19 vaksin dosis 3 mahasiswa dosen masyarakat
Hodyforesta,3/7/2022 7:33,netral,selamat siang pasukansemut jalinpersatuan stop berita palsu yuk berita palsu kulit bayi lahir lepuh sang vaksin covid 19 bikin berita palsu vaksin dunk sauya wicaksana2 dania 27
Rosi_KompasTV,3/7/2022 7:31,netral,oma lem cari info vaksin google cuplik saksi tayang lengkap kompastv spesial covid bangkit youtube kompastv covid 19 2tahunpandemiindonesia
Official_MNCTV,3/7/2022 7:31,netral,daftar aplikasi jaki mister aladin walk in langsung pkl 13 00 wib sedia vaksin terang vaksin dosis 1 2 tiket vaksinbooster aplikasi peduli lindung
Ferra_9912,3/7/2022 7:27,netral,sentra vaksinasibooster covid 19 gedung rektorat universitas bsi hai sobat bsi universitas bina sarana informatika ubsi sentra vaksinasibooster covid 19 vaksin dosis 3 mahasiswa dosen masyarakat
patria369,3/7/2022 7:27,negatif,jaman ngurusin covid bill gates bilang infeksi omicron efektif vaksin apa
Suradewata1,3/7/2022 7:24,positif,ayoo dukung program perintah vaksinbooster cegah covid 19 satu lawan covid 19 vaksincovid 19 booster omicron vaksinasi herdimmunity bersamacegahcorona bersatulawancovid19 bersamakitabisa indonesiakuat ekonomipulih
bondolclekitet,3/7/2022 7:21,netral,bekal anak imunitas kuat vaksinasi vaksin kurang resiko akibat papar covid 19
soloposdotcom,3/7/2022 7:17,negatif,gibran positif covid 19 vaksinbooster
RUTANSIBUHUAN,3/7/2022 7:12,netral,pegawai warga bina masyarakat rutan sibuhuan kanwil kemenkumham sumut laksana vaksinbooster covid 19 tempat rutan kelas iib sibuhuan vaksinasi lanjut 10 00 wib s d 13 30 wib terima vaksin pegawai warga bina rutan kelas iib sibuhuan
KAI121,3/7/2022 7:07,positif,kapasitas kereta batas padat pandemi covid 19 kai komitmen cegah sebar covid 19 terap protokol sehat ketat tumpang ka wajib vaksin 2
brimobsulteng,3/7/2022 7:04,negatif,vaksinbooster positif covid 19
wamnews_ind,3/7/2022 7:02,netral,kemenkes umum beri 21 307 dosis vaksin covid 19 24 jam total 24 248 279 wamnews
RsuPengayoman,3/7/2022 7:02,positif,vaksinasi tuju sistem kebal tubuh nali cepat lawan virus sebab infeksi tuju capai beri vaksin covid 19 turun angka mati akibat virus kanwilkumhamdki kanwilkemenkumhamdki
juherman1,3/7/2022 7:01,negatif,sholat jumat khatib nya ngaku urus mui kritik bijak covid perintah jaga jarak sholat embel2 dalil lurus rapat shaf kampanye anti vaksin percaya covid payah
nothingbgsd,3/7/2022 7:00,negatif,habis kena covid vaksin kena covid ya ya
UdenToko,3/7/2022 6:53,positif,ayo vaksin covid 19 wujud kelompok kebal sayang lindung keluarga tertib lintas disiplin protokol sehat opskeselamatanlodaya2022 bersamacegahcovid19 ayo pakai masker ayosegeravaksin
TaraBrdy,3/7/2022 6:53,positif,yaa tidak syukur minyak vaksin tekan sebar covid
SinarOnline,3/7/2022 6:52,netral,benar anak anak terima vaksin sedia pusat beli belah pusat bandar suhaila osman
getradius_id,3/7/2022 6:49,netral,kembang covid 19 kota malang landai anak anak usia 6 11 jalan vaksinasi 100 persen radius warga baik super media laporkankejadiandisekitaranda wargabaikmenangbanyak vaksin malang ajar tatap muka
azgardianranger,3/7/2022 6:47,positif,vaksinbooster anti covid wkwk
moneydotid,3/7/2022 6:47,netral,viral bocah duga suku badui tahan hadap suntik vaksin covid jelas
poldasulut_,3/7/2022 6:46,netral,mitos fakta vaksin covid 19 ayo pakai masker ayo cepat vaksin humaspoldasulut
Suhaimi76356203,3/7/2022 6:44,netral,nyata akhbar menteri sehat malaysia putus masyarakat kuasa kawal dadah kali 370 daftar vaksin covid 19
Suhaimi76356203,3/7/2022 6:44,netral,dasar pantau jalan npra trend lapor aefi negara negara rujuk regulator tiada isu selamat kes peringkat tempat global susul guna vaksin covid 19 golong kanak kanak
GED0NG,3/7/2022 6:40,netral,temu gubernur anies dubes korsel ucap terima kasih warga vaksin
polresleman,3/7/2022 6:36,netral,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster vaksinasi positif covid 19 sumber
Kodim1416,3/7/2022 6:34,netral,babinsa koramil 1416 04 kabawo serka laode armin tempat sdn 10 parigi kec parigi kab muna laksana giat damping pantau laksana vaksin covid 19 usia 6 11 7 3 2022
msianinsight,3/7/2022 6:34,netral,vaksin covid 19 buat malaysia jangka 2024 timbal menteri
Humas74567305,3/7/2022 6:33,positif,ayo vaksin lindung keluarga covid 19 lokasi vaksin alun alun kota bekas informasi hub bhabinkamtibmas polsek bekas selatan kel pekayon jaya aiptu muhtar hp 081511342000
ubsi_kramat98,3/7/2022 6:33,positif,vaksinbooster minimal 6 serta wajib bawa ktp asli alat tulis daftar mari dukung gera vaksinasi covid 19 tekan tingkat sebar covid 19 indonesia patuh protokol sehat ya
UMonline,3/7/2022 6:29,netral,ppvn tumpu hasil vaksin covid 19 mata libat kapasiti sakit manusia tempat
InhuSat,3/7/2022 6:24,positif,ayoo dukung program vaksinasi covid 19 vaksin dosis 1 ya guys dosis 2 boster dosis 3 patuh 5m 1 pakai masker 2 cuci tangan 3 jaga jarak 4 hindar kerumun 5 batas mobilitas vaksinasitaatprokes5m
NAWACITAPOST1,3/7/2022 6:16,netral,pegawai warga bina masyarakat rutan kelas iib sibuhuan kanwil kemenkumham sumut laksana vaksinbooster covid 19
melekmedia,3/7/2022 6:14,netral,isu berita palsu vaksin covid 19 kominfo turun 2 665 konten media sosial
Kodim1416,3/7/2022 6:10,netral,babinsa koramil 1416 01 katobu pelda la ode hanafi serda la ode dariono serda ri musthoful khafid laksana pantau damping vaksin covid 19 umur 6 11 tempat puskesmas lohia puskesmas waara desa waara kec lohia kab muna 7 3 2022
Humas74567305,3/7/2022 6:04,positif,ayo vaksin lindung keluarga covid 19 lokasi vaksin alun alun kota bekas informasi hub bhabinkamtibmas polsek bekas selatan kel jakamulya bripka sudirman hp 089683497957
LutfiOjol,3/7/2022 6:04,positif,populer lulus s2 imperial college london nisa sri wahyuni anak ojol viral lanjut karir organisasi sehat dunia salah peran kontribusi tangan vaksin covid 19
azkadotid,3/7/2022 6:01,netral,malaysia izin guna vaksin covid 19 sinovac anak 5 11
kifli127,3/7/2022 6:00,netral,tar ngecek latar tifa vaksin covid liat berfikirnya bangsa rum only beri tahu
BeritakiniB,3/7/2022 6:00,netral,untuk rm3 4 juta bangun vaksin covid 19 menteri sains petaling jaya untuk rm3 4 juta untuk bangun
iftulfira,3/7/2022 5:57,netral,kaedah beri vaksin beda sunti teliti rakyat takut jarum picagari vaksin
imamrosadi09,3/7/2022 5:57,negatif,berani ngundang tokoh pro islam pro rakyat coba undang ustadz kontra habib kribo undang louis kontra tirta dokter pro covid vaksin om berani bredel channel youtube nya makan
sonqyuvin,3/7/2022 5:54,netral,insentif vaksin covid
bsikarawang,3/7/2022 5:53,positif,jarak vaksin 1 2 vaksinbooster minimal 6 serta wajib bawa ktp asli alat tulis daftar mari dukung gera vaksinasi covid 19 tekan tingkat sebar covid 19 indonesia patuh protokol
bsikarawang,3/7/2022 5:52,netral,covid 19 vaksin dosis 3 mahasiswa dosen masyarakat bekerjasama puskesmas kel kwitang kec senen jakarta pusat catat informasi lokasi sentra vaksinasi gedung rektorat universitas bsi jl kramat raya 98 rt 2 rw 9 kwitang
Lantas_TGalek,3/7/2022 5:39,positif,sukses vaksinasi covid 19 satlantas polres trenggalek inovasi layan vaksin mohon sim satpas polres trenggalek satlantas polres trenggalek semangat jaga trenggalek jamin layan gawe ati rasirosakorlantas ditlantaspoldajatim polripresisi rtmcjatim
kp_polsek,3/7/2022 5:34,netral,fakta vaksin covid 19 yuk simak jelas ayolawancorona poldakaltim polrestasamarinda polsekkpsamarinda
PanduBerkarya,3/7/2022 5:30,positif,slemanis cek tiket vaksinasibooster mu aplikasi pedulilindungi kunjung puskesmas rumah sakit dekat ayo vaksinbooster amarga covid soyo banter
medcom_id,3/7/2022 5:24,netral,kominfo blokir 2 665 sebar berita palsu vaksin covid 19
aksesdisini_com,3/7/2022 5:18,netral,viral suntik vaksin covid 19 tembus bocah sampai dengan banten
tangerangnews,3/7/2022 5:16,netral,viral suntik vaksin covid 19 tembus bocah sampai dengan banten via
intandemil,3/7/2022 5:14,netral,dory parah sih mikir anjir ta vaksin astrazeneca trial simpanse covid jadi ikut pasca imunisasi astrazeneca parah jadi ikut pasca imunisasi astrazeneca
BakariMugen,3/7/2022 5:13,positif,3 alas vaksin covid 19 selamat keluarga lingkung bangsa yukvaksin vaksin sayasudahvaksin
BakariMugen,3/7/2022 5:12,positif,vaksin covid 19 manfaat lindung vaksinasi selamat keluarga lingkung bangsa yukvaksin vaksin sayasudahvaksin
JikoDeni,3/7/2022 5:12,netral,amarrul selesai coba covid suruh vaksin susah
YoyokSubandriy3,3/7/2022 5:12,netral,unit binmas damping warga kapanewon wates laksana vaksin covid 19 banyuroto nanggulan kulonprogo vaksin rangka sambut kartini tema daya karya pandemi perempuan tangguh indonesia tumbuh 07 03 2022
LianaIndahSar12,3/7/2022 5:10,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
Pamuji66398358,3/7/2022 5:09,positif,alhamdulillah wa syukru lillahi bapak rumah sakit minggu rawat ruang isolasi rsud situbondo positif covid khawatir usia sepuh diabetes jantung vaksin 2 kali rencana booster
sherens56,3/7/2022 5:09,netral,amarrul bebas covid tinggal vaksin ribet
skuukzkyfk,3/7/2022 5:08,netral,yoonbak konfirmasi positif covid 19 selesai vaksin tiga fokus pulih isoman syuting drama ramal cinta dan cuaca selesai pengaruh siar drama
bagusaban,3/7/2022 5:03,negatif,mari vaksin pusing mari vaksin langsung kena covid meh akan mati
501Awani,3/7/2022 5:01,netral,timbal menteri mosti datuk ahmad amzad hashim pelan bangun vaksin had covid 19 sahaja kaedah beri vaksin oral sembur hidung awaninews dewanrakyat sisitvparlimen
hajinewsonline,3/7/2022 5:00,netral,viral bocah badui suntik vaksin covid 19 duga tahan hadap
AnnisaNoerQ,3/7/2022 4:50,netral,booster vaksin covid 19 turun resiko rawat inap sakit berat kelompok rentan lansia orang komorbid booster capai kelompok kebal
AnnisaNoerQ,3/7/2022 4:46,netral,sih vaksin covid 19 lengkap 2 dosis kurang resiko mati 67 vaksinbooster kurang resiko mati 91 percayaterlindungi
RozaishamH,3/7/2022 4:34,netral,yb kj sunti vaksin covid 19 terima palsu menteri sehat malaysia
TMCPolresDumai,3/7/2022 4:33,positif,rangka operasi selamat lancang kuning 2022 sat lantas polres dumai buka layan vaksin i ii booster masyarakat 6 11th dewasa lansia tempat pos polisi lintas 902 jalan putri tujuh dumai tuju cegah tular covid 19
PirlErika,3/7/2022 4:32,negatif,mahkamah perancis putus orang ambil vaksin covid ujikaji mati mati bunuh
alep_o2,3/7/2022 4:31,netral,kenang balit syukur paling sedikit keluarga kena covid vaksin booster i bayang kena before vaksin
cristin23505456,3/7/2022 4:30,positif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
RismaII4,3/7/2022 4:27,positif,ayo lawan covid lupa vaksin ya jagaprokesnvaksin indonesiasehatindonesiahebat bersatulawancovid19 negeripulihdenganvaksin
rusli_amarrul,3/7/2022 4:26,netral,klw indonesia warga kandang paksa vaksin vaksin kartu vaksin sembako mall saudi masker turis polymerase chain reaction selamat tinggal selamat tinggal covid 19
19yudith,3/7/2022 4:21,netral,menteri komunikasi informatika kominfo lapor temu berita palsu putar vaksin covid 19 rabu 2 3 2022 469 temu berita palsu sebar media sosial sebar capai 2 659 konten
19yudith,3/7/2022 4:21,netral,sebar berita palsu vaksin covid 19
SMART94309579,3/7/2022 4:19,netral,sih pakai masker tular utama covid 19 butir cair droplet salur napas lontar bicara nyanyi batuk bersin patuhhindarikerumunan vaksin tingkat kebal
Riyad22775061,3/7/2022 4:18,netral,salah vaksin covid 19 guna mutasi ribu varian covid berita palsu edar hlbk kepala lembaga biologi molekuler lembaga eijkman prof amin soebandrio
Riyad22775061,3/7/2022 4:18,positif,majelis ulama indonesia mui terbit fatwa mui nomor 8 2022 produk vaksin covid 19 merah putih fatwa mui vaksin merah putih produksi pt biotis pharmaceuticals universitas airlangga unair halal suci
PirlErika,3/7/2022 4:16,netral,mahkamah perancis putus orang ambil vaksin covid ujikaji mati mati bunuh
Nurahman_imann,3/7/2022 4:14,positif,indonesia disiplin protokol sehat optimis vaksinbooster pandemi endemi covid 19 hilang bumi tanah datar
Nurahman_imann,3/7/2022 4:13,positif,indonesia disiplin protokol sehat ajak masyarakat kabupaten tanah datar sukses vaksin lanjut booster covid 19
Nurahman_imann,3/7/2022 4:13,positif,indonesia disiplin protokol sehat jalan vaksin lanjut booster covid 19
Nurahman_imann,3/7/2022 4:13,positif,indonesia disiplin protokol sehat damping wakil bupati richi aprian suntik vaksinbooster covid 19 aula kantor bupati pagaruyung
SamarindaUpdate,3/7/2022 4:10,netral,via vaksin covid 19 astrazeneca pfizer sinovac sinopharm dosis 1 2 astrazeneca dosis 1 2 3 klinik kusuma fyi klinik kusuma ready vaksin yaa klinik sangkut vaksinmaret samarinda
SamarindaUpdate,3/7/2022 4:09,netral,via vaksin covid 19 8 maret 2022 astrazeneca dosis 1 2 3 by pusk sempaja alamat tera pusk loa bakung pfizer dosis 1 2 3 pusk sidomulyo pfizer dosis 2 3 astrazeneca dosis 1 2 3 10 maret 2022 kantor kel sambut vaksinmaret samarinda
raratitihhh,3/7/2022 4:07,netral,vaksin covid 19 astrazeneca pfizer sinovac sinopharm dosis 1 2 astrazeneca dosis 1 2 3 klinik kusuma fyi klinik kusuma ready vaksin yaa klinik sangkut
