username,tanggal,tweet,sentimen
__yeonsuu__,3/7/2022 11:27,kena nyeri otot gegara covid vaksin kali,negatif
GoSumutdotcom,3/7/2022 11:26,wabup samosir bantu sosial covid 19 henti vaksin,netral
GeganaRiau,3/7/2022 11:25,cepat vaksinasi covid 19 lansia personel detasemen gegana satu brimob polda riau ajak warga usia humanis vaksin center rs bhayangkara polda riau lengkap,netral
AbdulLatif_BE,3/7/2022 11:24,moga alami nyanyi anti vaksin hana horka republik ceko tinggal sengaja tular covid 19,negatif
iina_surbakti,3/7/2022 11:22,posting judul teman tentu laku orang terima dosis vaksin covid 19 yaa,negatif
D_N4bil5,3/7/2022 11:18,menteri badan usaha milik negara bumn erick thohir world health organization who sinyal jadi indonesia hub pusat produksi vaksin covid 19 asia tenggara dengan merdeka daulat,netral
AurelNovelia,3/7/2022 11:16,total beri vaksin dosis indonesia kamis 309 capai 2454 target tuju endemi covid ag4ever,netral
edisisiasatMYS,3/7/2022 11:14,jual vaksin sijil lengkap dosis datang asing izin covid sijil,netral
sugito_813,3/7/2022 11:13,video viral jagat maya twitter anak baju seragam sampai dengan narasi asal suku badui lebak banten tahan hadap jarum suntik vaksin covid 19,netral
IzcaFaeyza,3/7/2022 11:10,vaksin covid 19 apa jangkit gejala covid 19 serius tanya februari maret sakit,negatif
scienceprank20,3/7/2022 11:09,ristianto dishare tl salah covid idiot salah x suntik pound uk vaksin covid dishare media as salah aku lupa,negatif
ahmad_chm,3/7/2022 11:09,alhamdulillah moga atur cepat pandemi covid cepat hilang bumi pertiwi hindar tular covid,positif
magiccsenja,3/7/2022 11:04,bos super nyebelin banget vaksinbooster izin kota ya susah bidang acara pisah jatim bener larang parah covid huft muak,negatif
JSCLab,3/7/2022 10:57,kota pintar sih ampuh vaksinbooster lindung tubuh lawan covid 19 cari lengkap artikel ya jakarta kota pintar vaksinasi vaksinasi covid 19,positif
selvijn_ellias,3/7/2022 10:55,syarat tes polymerase chain reaction antigen jalan domestik hapus laku orang terima dosis vaksin covid 19,netral
azharamin312,3/7/2022 10:49,pesawat wajib tes covid 19 vaksin lengkap cakap pikir buat cakap,netral
GratisTerbaik,3/7/2022 10:48,definisi vaksin covid gagal tingkat individu rentan sakit cidera mati pasca prosedur nirlogika,negatif
Mans__I6,3/7/2022 10:44,asing operasi kuasa pimpin nikmat mahasiswa nya tidur mimpi dprnya asik jatah bulan kian tinggi rakyat generasi terus bangsa mati covid vaksin uji ulama ditakutin intimidasi,negatif
sapotahuenak,3/7/2022 10:42,aku suami puji tuhan perna kena covid heran anak 6 3 positif covid vaksin 4 kali tahan hadap covid,positif
sekte_covid,3/7/2022 10:41,sedia alat tes tip sedia vaksin,netral
Radar_Cirebon,3/7/2022 10:30,vaksin sinovac pilih malaysia hasil uji klinik nyata anak 5 vaksin pakai sinovac,netral
KibataraK,3/7/2022 10:23,apa kemendag taurakyat dapat minyak goreng rela antre harga minyak goreng murah dari partai tugas vaksin covid 19,negatif
lawancovid19_id,3/7/2022 10:15,informasi kait covid 19 kunjung situs resmi tangan covid 19 pulih ekonomi nasional informasi vaksin covid 19 sedia indonesia bangkit semua wajib pakai masker pakai masker cepat vaksin,netral
YarKusworo,3/7/2022 10:11,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksin booster sumber,netral
titiktitikblank,3/7/2022 10:07,vaksin sedia mesti manfaat kadaluarsa warga indonesia negara vaksin covid 19 sehat adad kompas,netral
711Yonif,3/7/2022 10:06,program vaksinasi tahap tiga anggota satgas pamtas ri png yonif 711 raksatama jayapura satgas pamtas ri png yonif 711 rks laksana vaksinasi covid 19 tahap tiga vaksinbooster tempat poliklinik polres keerom kabupaten keerom jayapura,netral
D_N4bil5,3/7/2022 10:06,erick thohir sinergitas kemen bumn kemen sehat kemen negeri kunci percaya who percaya indonesia vaksin mrna dengan merdeka daulat,netral
Rakyat_Merdeka9,3/7/2022 10:05,vaksin lengkap coming soon pesawat tes covid lagi booster vaksin vaksinasi omicron omicron virus omicron varian corona coronavirus covid 19 covid rakyat merdeka rmid,netral
Rakyat_Merdeka9,3/7/2022 10:05,aktif covid 19 jakarta turun 800 bor tinggal 29 persen booster vaksin vaksinasi omicron omicron virus omicron varian corona coronavirus covid 19 covid rakyat merdeka rmid,netral
beritamanado,3/7/2022 10:05,berita baru kabar lengkap vaksin antigen polymerase chain reaction tes antigen tes polymerase chain reaction vaksinasi covid,netral
tribunpontianak,3/7/2022 10:02,luhut binsar panjaitan warga vaksin dosis bukti tes antigen polymerase chain reaction negatif covid 19 covid terbang polymerase chain reaction antigen,netral
tobiin,3/7/2022 10:01,tes covid syarat jalan vaksin hapus,netral
Nnattassa,3/7/2022 10:00,misc salah sakit serius akibat jangkit covid 19 kalang kanak2 misc bawa bahaya mauttujuh kes sah tinggal dunia akibat miscdapatkan vaksin covid 19 kanak umur 511,netral
nnadyaap,3/7/2022 9:58,vaksin tiket bebas covid booster kena sedih senang berita,netral
ameenshh,3/7/2022 9:56,ramai positif covid untung vaksin vaksin selamat jangkit moga sehat sembuh moga uji hilang allah kuat may allah lindung tinggal simpan,positif
EdwarFeggy,3/7/2022 9:53,airlangga hartarto tonton motogp mandalika tes covid 19 pasuk tribun tonton tempo bisnis,netral
republikaonline,3/7/2022 9:52,perintah target 208265720 orang sasar vaksinasi covid 19,netral
riskymayang,3/7/2022 9:51,a kerepot vaksinbooster covid travel philippines eh nerima peduli lindung mau nerima sertifikat pakai buku kuning sertifikat covid dipindahin kesini buku didapet meningitis or,negatif
azkadotid,3/7/2022 9:51,asyik laku jalan domestik vaksin covid 19 lengkap syarat antigen dan polymerase chain reaction,netral
YarKusworo,3/7/2022 9:47,fakta vaksin covid 19,netral
wepe20_,3/7/2022 9:42,nanya vaksin astrazeneca booster nunggu nunggu 6 pasca covid pasca vaksinkedua,netral
lokapomsanggau,3/7/2022 9:38,sahabat bpom 2 februari 2022 badan pom tuju izin guna darurat tambah regimen booster homolog vaksin covid 19 sinopharm,netral
BrimobKepri,3/7/2022 9:30,gerai vaksin presisi masyarakat lapas rutan barelang rangka dukung program perintah putus cepat sebar virus covid 19 senin 7 maret 2022,netral
Beritasatu,3/7/2022 9:26,vaksin covid 19 cepat dapat vaksin baik baca lengkap vaksinasi,positif
kompascom,3/7/2022 9:23,kadaluarsa 2500 vaksin astrazeneca habis 25 februari panjang bulan,netral
dinkesJKT,3/7/2022 9:19,sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster ikut syarat laku vaksinasibooster gencar indonesia hadap varian covid 19 ter,positif
Humasressanggau,3/7/2022 9:18,giat vaksinasi massal covid 19 gerai vaksin presisi polres sanggau sunti 1 2 alokasi vaksin polri rangka dukung program cepat vaksinasi nasional laksana desa balai nanga camat kapuas kabupaten sanggau,netral
StopPlandemit,3/7/2022 9:14,apa vaksin covid nya tangkap tikus rumah bakar rumah,negatif
KATADATAcoid,3/7/2022 9:12,menko marves luhut binsar pandjaitan perintah hapus syarat tes covid 19 polymerase chain reaction antigen laku jalan darat laut udara negeri terima vaksin corona dosis lengkap,netral
karirpurwokerto,3/7/2022 9:03,lowong kerja pt tah sung hungposisi customs staffkualifikasi didik minimal s1 jurus operasi komputer tim wajib vaksin covid dosis 2 lengkap v,netral
theAnwariah,3/7/2022 9:01,bh nasional uji jaya calon vaksin covid 19 keluar 2024,netral
PeneranganKlang,3/7/2022 9:00,kaji kini pulih malaysia gt90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap japen selangor sembuh menang sama lindung diri lindung semua keluarga malaysia jabat terang,netral
TrianiNeehan,3/7/2022 8:59,upp kab bantaeng laksana giat sambang himbauan vaksin covid 19 desa papan kamu sosialisasi sapu bersih pungut liar media masker personil logo saber pungli pemda,netral
FitRadioBandung,3/7/2022 8:57,jubir vaksinasi covid 19 kemenkes siti nadia ajak masyarakat lengkap dosis vaksinasi kelompok kebal bentuk hingga jurnal medis sebut vaksin covid 19 efektif lagi tetap aman tetap bugar umur hidup,positif
leemarker916,3/7/2022 8:55,daftar paspor orang asing sertif vaksin hasil negatif covid tongkat cahaya,netral
pmrmarang,3/7/2022 8:54,faktor kanak 5 12 sunti vaksin covid 19 menang sama lindung diri lindung semua keluarga malaysia jabat terang jabat terang daerah marang,netral
cutsarah,3/7/2022 8:54,masyarakat indonesia suntik vaksin covid 19 dosis tambah tembus 1478 juta orang coronavirus baru vaksin selamat hidup covid belum selesai,netral
machbeach,3/7/2022 8:53,oh pakai syarat guna vaksin bebas covid beda vaksin,netral
19yudith,3/7/2022 8:50,id dasamuka lawan berita palsu vaksin covid 19 stop sebar temu konten valid sumber,netral
19yudith,3/7/2022 8:49,sebar berita palsu vaksin covid 19 media sosial,netral
rakyatmerdeka,3/7/2022 8:48,as donasi 35 juta vaksin covid 19 indonesia,netral
AriD3AngeL,3/7/2022 8:47,baca berita wajib vaksin milik asuransi sehat tutup covid 19,netral
redaksisuma,3/7/2022 8:44,iring turun covid 19 negara negara longgar batas jalan wisatawan covid 19 vaksin wisatawan sumaid,netral
beritacovid,3/7/2022 8:44,giat aman damping giat vaksin covid 19 dosis 1 2 wilayah camat jogorogo kab ngawi polres ngawi polri covid covid 19,netral
beritacovid,3/7/2022 8:44,tilang vaksin razia kartu vaksin covid 19 news covid covid 19,netral
prilempril,3/7/2022 8:43,vaksin wajib pakai masker masjid jaga jarak laku wisata milik asuransi mengcover biaya papar covid arab saudi dar info malas baca berita,netral
AbdulLa10661712,3/7/2022 8:39,rt kaji kini pulih malaysia gt90 kesan jangkit covid 19 vaksin primer dosis booster banding dosis lengkap pulih menang sama lindung diri lindung semua keluarga malaysia,netral
agungyuswanto,3/7/2022 8:37,mohon tunjuk dokter vaksin meningitis vaksinbooster covid 19 jumat vaksin covid 3 pfizer 12 dosis gejala ikut serius pegal sunti berangkat umrah tanggal 22 maret,netral
disparbud_jabar,3/7/2022 8:34,admin ya vaksinbooster positif covid 19 vaksin lho warga jabar,netral
KAI121,3/7/2022 8:33,kapasitas kereta batas padat pandemi covid 19 komitmen cegah sebar covid 19 terap protokol sehat ketat tumpang ka wajib vaksin 2,positif
dytiaaurinh,3/7/2022 8:32,laa zikir vaksin ramai sakit sakit ramai vaksin kaya bagus ramai sakit kena covid admin rumah sakit jemaah,negatif
RakyatSulsel,3/7/2022 8:28,angka mati covid makassar danny 95 persen belum vaksin,negatif
rdi971,3/7/2022 8:27,daftar lalu aplikasi jaki mister aladin walk in langsung pkl 1300 wib sedia vaksin ada mnc peduli vaksin booster gratis sama mnc lawan corona,netral
balaip2p_sum2,3/7/2022 8:24,laksana beri vaksin covid 19 merk pfizer vaksinbooster salah upaya cegah henti sebar coronavirus disease sigap bangun negeri rumah,positif
polsekkuta,3/7/2022 8:21,ayoo sobat polri vaksin covid 19 lengkap,netral
rusma_warti,3/7/2022 8:18,akselerasi capai vaksinasi covid 19 rumkit bhayangkara layan vaksin kantor dinas esdm kota palangka raya,netral
bulan_semesta,3/7/2022 8:18,vaksinasi door ya door gelar kawasan aren jaya bekas timur kota bekas giat 100 warga terima vaksin covid 19 dosis 12 booster,netral
agung_alay,3/7/2022 8:17,bukti kendali covid 19 aku dunia cakep vaksin vaksin maret,netral
Karunia831,3/7/2022 8:13,halaman who aman vaksin tanggulang jadi ikut pasca imunisasi vaksin covid 19 kandung ethyl mercury,netral
denni_sauya,3/7/2022 8:13,dania sauya stop berita palsu covid 19 vaksin pasu semut jalin satu,netral
Karunia831,3/7/2022 8:11,booster ke 3 jab ke 5 vaksin khusus jadi ikut pasca imunisasi apa vaksin pabrik april produksi opung menang kalah who bilang covid who indo produsen vaksin,negatif
Karunia831,3/7/2022 8:08,tinggal pasca vaksin komorbid non komorbid aku jadi ikut pasca imunisasi jadi alas komorbid nya covid vaksin salah,negatif
Karunia831,3/7/2022 8:07,mandatory vaksin bukti solusi halau pandemi masyarakat dunia paksa terima sunti covid jadi ikut pasca imunisasi ringan mati vaksin kadaluarsa virus baru kabar varian omicron ba1 lahir baby omicron ba2 stopwajibvaksinanak,negatif
mat4g13,3/7/2022 8:03,amal norma ambil vaksin covid 19 sarawak norma pakai masker muka jaga jarak cuci tangan air sabun hand sanitizer sumber jabat sehat negeri sarawak rasmi anms,netral
mat4g13,3/7/2022 8:03,rt beri vaksinasi sinovac kanak 7hb mac 2022 rujuk catat ppv pilih halaman sawang,netral
mat4g13,3/7/2022 8:03,rt nyata media menteri sehat malaysia beri vaksin sinovac kanak 5 11 bawah program imunisasi covid 19 bangsa kanak,netral
PolresPdgPRM,3/7/2022 7:55,mari patuh protokol sehat vaksin hindar bahaya sebar covid 19 polres padang pariaman cepat dekat sahabat patriot digital polri adaptasi biasa baru,netral
HumasPolresLB,3/7/2022 7:54,ayo ragu suntik vaksin covid 19 vaksin lindung disiplin terap protokol sehat vaksin yaa,netral
timescoid,3/7/2022 7:50,rekomendasi panjang vaksin covid 19 kadaluarsa dinas sehat dinkes kota malang catat 2500 dosis vaksin covid 19 merek astrazeneca kadaluarsa berita baik timesindonesia tahan informasi,netral
Rei_Dania,3/7/2022 7:49,dania sauya stop berita palsu covid 19 vaksin pasu semut jalin satu,netral
p023456,3/7/2022 7:46,rugi produsen kopi tambah paracetamol viagra kopi sachet ada2 kerja badan stempel vaksin covid iniemang setor usaha vaksin covid kahga produk makan minum stempel bpom gantung konsumen,netral
YoyokSubandriy3,3/7/2022 7:42,vaksin covid 19 warga kapanewon wates sambut kartini 2022 lurah banyuroto nanggulan kulon progo 07032022,netral
YoyokSubandriy3,3/7/2022 7:40,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster,netral
bsi_jtw,3/7/2022 7:33,hai sobat bsidemi dukung program perintah cegah sebar tingkat covid 19 indonesia universitas bina sarana informatika ubsi sentra vaksinasibooster covid 19 vaksin dosis 3 mahasiswa dosen masyarakat,positif
Hodyforesta,3/7/2022 7:33,selamat siang pasu semut jalin satu stop berita palsu ayo berita palsu kulit bayi lahir lepuh sang vaksin covid 19 bikin berita palsu vaksin,netral
Rosi_KompasTV,3/7/2022 7:31,oma lem cari info vaksin google cuplik saksi tayang lengkap kompas tv spesial covid bangkit youtube kompas tv covid 19 2 tahun pandemi indonesia,netral
Official_MNCTV,3/7/2022 7:31,daftar lalu aplikasi jaki mister aladin walk in langsung pkl 1300 wib sedia vaksin ada terang vaksin dosis tiket vaksinbooster aplikasi peduli lindung,netral
Ferra_9912,3/7/2022 7:27,sentra vaksinasibooster covid 19 gedung rektorat universitas bsi hai sobat bsi universitas bina sarana informatika ubsi sentra vaksinasibooster covid 19 vaksin dosis 3 mahasiswa dosen masyarakat,netral
patria369,3/7/2022 7:27,jaman ngurusin covid bill gates bilang infeksi omicron efektif vaksin apa,negatif
Suradewata1,3/7/2022 7:24,ayoo dukung program perintah vaksin booster sama cegah covid 19 satu lawan covid 19 vaksin covid 19 booster omicron vaksinasi kebal tubuh sama cegah corona satu lawan covid 19 sama kita bisa indonesia kuat ekonomi pulih,positif
bondolclekitet,3/7/2022 7:21,bekal anak imunitas kuat vaksinasi vaksin kurang resiko akibat papar covid 19,netral
soloposdotcom,3/7/2022 7:17,gibran positif covid 19 vaksinbooster,negatif
RUTANSIBUHUAN,3/7/2022 7:12,pegawai warga bina masyarakat rutan sibuhuan kanwil kemenkumham sumut laksana vaksinbooster covid 19 tempat rutan kelas iib sibuhuan vaksinasi lanjut 1000 wib sampai dengan 1330 wib terima vaksin pegawai warga bina rutan kelas iib sibuhuan,netral
KAI121,3/7/2022 7:07,kapasitas kereta batas padat pandemi covid 19 kai komitmen cegah sebar covid 19 terap protokol sehat ketat tumpang ka wajib vaksin 2,positif
brimobsulteng,3/7/2022 7:04,vaksinbooster positif covid 19,negatif
wamnews_ind,3/7/2022 7:02,kemenkes umum beri 21307 dosis vaksin covid 19 24 jam total 24248279 wam news,netral
RsuPengayoman,3/7/2022 7:02,vaksinasi tuju sistem kebal tubuh nali dengan cepat lawan virus sebab infeksi tuju capai beri vaksin covid 19 turun angka mati akibat virus ini kanwil kumham dki kanwil kemenkumham dki,positif
juherman1,3/7/2022 7:01,sholat jumat khatib nya ngaku urus mui kritik bijak covid perintah jaga jarak sholat embel2 dalil lurus rapat shaf kampanye anti vaksin percaya covid payah,negatif
nothingbgsd,3/7/2022 7:00,habis kena covid vaksin kena covid ya,negatif
UdenToko,3/7/2022 6:53,ayo vaksin covid 19 wujud kelompok immunitysayangi lindung keluarga tertib lintas disiplin protokol sehat ops selamat lodaya 2022 sama cegah covid 19 ayo pakai masker ayo segera vaksin,positif
TaraBrdy,3/7/2022 6:53,yaa tidak syukur minyak vaksin tekan sebar covid,positif
SinarOnline,3/7/2022 6:52,benar anak terima vaksin sedia pusat beli belah pusat bandar suhaila osman,netral
getradius_id,3/7/2022 6:49,kembang covid 19 kota malang landai anak usia 6 sampai 11 jalan vaksinasi 100 persen radius warga baik super media lapor jadi sekitar anda warga baik menang banyak vaksin malang ajar tatap muka,netral
azgardianranger,3/7/2022 6:47,vaksinbooster anti covid wkwk,positif
moneydotid,3/7/2022 6:47,viral bocah duga suku badui tahan hadap suntik vaksin covid jelas,netral
poldasulut_,3/7/2022 6:46,mitos fakta vaksin covid 19 mari pakai masker ayo cepat vaksin humaspoldasulut,netral
Suhaimi76356203,3/7/2022 6:44,nyata akhbar menteri sehat malaysia putus masyarakat kuasa kawal dadah kali ke 370 daftar vaksin covid 19,netral
Suhaimi76356203,3/7/2022 6:44,dasar pantau jalan npra trend lapor aefi negara negara rujuk regulator tiada isu selamat kes peringkat tempat global susul guna vaksin covid 19 golong kanak,netral
GED0NG,3/7/2022 6:40,temu gubernur anies dubes korsel ucap terima kasih warga vaksin,netral
polresleman,3/7/2022 6:36,vaksinbooster positif covid 19 sintas covid 19 orang sembuh covid 19 rekomendasi vaksinbooster vaksinasi positif covid 19 sumber,netral
Kodim1416,3/7/2022 6:34,babinsa koramil 141604kabawo serka laode armin tempat sdn 10 parigi kec parigi kab muna laksana giat damping pantau laksana vaksin covid 19 usia 6 sampai 11 tahun 732022,netral
msianinsight,3/7/2022 6:34,vaksin covid 19 buat malaysia jangka 2024 timbal menteri,netral
Humas74567305,3/7/2022 6:33,ayo vaksin lindung keluarga covid 19 lokasi vaksin alun alun kota bekas informasi hub bhabinkamtibmas polsek bekas selatan lurah pekayon jaya aiptu muhtar hp081511342000,positif
ubsi_kramat98,3/7/2022 6:33,vaksinbooster minimal 6 serta wajib bawa ktp asli alat tulis daftar mari dukung gera vaksinasi covid 19 tekan tingkat sebar covid 19 indonesia patuh protokol sehat ya,positif
UMonline,3/7/2022 6:29,ppvn tumpu hasil vaksin covid 19 libat kapasiti sakit manusia tempat,netral
InhuSat,3/7/2022 6:24,ayoo dukung program vaksinasi covid 19 vaksin dosis 1 ya teman masih dosis 2 boster dosis 3selalu patuh 5m 1 pakai masker 2 cuci tangan 3 jaga jarak 4 hindar kerumun 5 batas mobilitas vaksinasi taat protokol sehat 5m,positif
NAWACITAPOST1,3/7/2022 6:16,pegawai warga bina masyarakat rutan kelas iib sibuhuan kanwil kemenkumham sumut laksana vaksin booster covid 19,netral
melekmedia,3/7/2022 6:14,isu berita palsu vaksin covid 19 kominfo turun 2665 konten media sosial,netral
Kodim1416,3/7/2022 6:10,babinsa koramil 141601katobu pelda la ode hanafi serda la ode dariono serda rimusthoful khafid laksana pantau damping vaksin covid 19 umur 6 sampai 11 tempat puskesmas lohia puskesmas waara desa waara kec lohia kab muna 732022,netral
Humas74567305,3/7/2022 6:04,ayo vaksin lindung keluarga covid 19 lokasi vaksin alun alun kota bekas informasi hub bhabinkamtibmas polsek bekas selatan lurah jakamulya bripka sudirman hp089683497957,positif
LutfiOjol,3/7/2022 6:04,populer lulus s2 imperial college london nisa sri wahyuni anak ojol viral lanjut karir organisasi sehat dunia salah peran kontribusi tangan vaksin covid 19,positif
azkadotid,3/7/2022 6:01,malaysia izin guna vaksin covid 19 sinovac anak 5 sampai 11 tahun,netral
kifli127,3/7/2022 6:00,tar ngecek latar tifa vaksin covid liat pikir bangsa hanya desas desus beri tahu,netral
BeritakiniB,3/7/2022 6:00,untuk rm34 juta bangun vaksin covid 19 menteri sains petaling jaya untuk rm34 juta untuk bangun,netral
iftulfira,3/7/2022 5:57,kaedah beri vaksin beda sunti teliti rakyat takut jarum picagari vaksin,netral
imamrosadi09,3/7/2022 5:57,berani ngundang tokoh pro islam pro rakyat coba undang ustadz kontra habib kribo undang louis kontra tirta dokter pro covid vaksin om berani bredel channel youtube nya makan,negatif
sonqyuvin,3/7/2022 5:54,insentif vaksin covid,netral
bsikarawang,3/7/2022 5:53,jarak vaksin 1 2 vaksinbooster minimal 6 serta wajib bawa ktp asli alat tulis daftar mari dukung gera vaksinasi covid 19 tekan tingkat sebar covid 19 indonesia patuh protokol,positif
bsikarawang,3/7/2022 5:52,covid 19 vaksin dosis 3 mahasiswa dosen masyarakat bekerjasama puskesmas lurah kwitang kecsenen jakarta pusat catat informasi lokasi sentra vaksinasi gedung rektorat universitas bsi jl kramat raya 98 rt 2 rw 9 kwitang,netral
Lantas_TGalek,3/7/2022 5:39,sukses vaksinasi covid 19 satlantas polres trenggalek inovasi layan vaksin mohon sim satpas polres trenggalek satlantas polres trenggalek semangat jaga trenggalek jamin layan gawe hati rasiro sakor lantas ditlantas polda jatim polri presisi rtmc jatim,positif
kp_polsek,3/7/2022 5:34,fakta vaksin covid 19 ayo simak jelas ayol awan corona polda kaltim polresta samarinda polsek kp samarinda,netral
PanduBerkarya,3/7/2022 5:30,slemanis cek tiket vaksinasibooster mu aplikasi peduli lindung kunjung puskesmas rumah sakit dekat ayo vaksinbooster amarga covid soyo banter,positif
medcom_id,3/7/2022 5:24,kominfo blokir 2665 sebar berita palsu vaksin covid 19,netral
aksesdisini_com,3/7/2022 5:18,viral suntik vaksin covid 19 tembus bocah sampai dengan dibanten,netral
tangerangnews,3/7/2022 5:16,viral suntik vaksin covid 19 tembus bocah sampai dengan banten via,netral
intandemil,3/7/2022 5:14,dory parah sih mikir anjir ta vaksin astrazeneca trial simpanse covid jadi ikut pasca imunisasi astrazeneca parah jadi ikut pasca imunisasi astrazeneca,netral
BakariMugen,3/7/2022 5:13,3 alas vaksin covid 19 selamat keluarga lingkung bangsa ayo vaksin vaksin saya sudah vaksin,positif
BakariMugen,3/7/2022 5:12,vaksin covid 19 manfaat lindung vaksinasi selamat keluarga lingkung bangsa ayo vaksin vaksin saya sudah vaksin,positif
JikoDeni,3/7/2022 5:12,amarrul selesai coba covid suruh vaksin susah,netral
YoyokSubandriy3,3/7/2022 5:12,unit binmas damping warga kapanewon wates laksana vaksin covid 19 banyuroto nanggulan kulon progo vaksin rangka sambut kartini tema daya karya pandemi perempuan tangguh indonesia tumbuh 07032022,netral
LianaIndahSar12,3/7/2022 5:10,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat,positif
Pamuji66398358,3/7/2022 5:09,alhamdulillah wa syukru lillahi bapak rumah sakit minggu rawat ruang isolasi rsud situbondo positif covid sempat khawatir usia sepuh diabetes jantung vaksin 2 kali rencana booster,positif
sherens56,3/7/2022 5:09,amarrul bebas covid tinggal vaksin ribet,netral
skuukzkyfk,3/7/2022 5:08,yoonbak konfirmasi positif covid19 dia selesai vaksin tiga fokus pulih isoman syuting drama ramal cinta dan cuaca selesai pengaruh siar drama,netral
bagusaban,3/7/2022 5:03,mari vaksin pusing mari vaksin langsung kena covid meh akan mati,negatif
501Awani,3/7/2022 5:01,timbal menteri mosti datuk ahmad amzad hashim pelan bangun vaksin had covid 19 sahaja kaedah beri vaksin oral sembur hidung awan news dewan rakyat sisi tv parlimen,netral
hajinewsonline,3/7/2022 5:00,viral bocah badui suntik vaksin covid 19 duga kebal,netral
AnnisaNoerQ,3/7/2022 4:50,booster vaksin covid 19 turun resiko rawat inap sakit berat kelompok rentan lansia orang komorbid selain booster capai kelompok kebal,netral
AnnisaNoerQ,3/7/2022 4:46,sih vaksin covid 19 lengkap 2 dosis kurang resiko mati 67 bahkan vaksinbooster kurang resiko mati 91 percaya lindung,netral
RozaishamH,3/7/2022 4:34,yb kj sunti vaksin covid 19 terima palsu menteri sehat malaysia,netral
TMCPolresDumai,3/7/2022 4:33,rangka operasi selamat lancang kuning 2022 sat lantas polres dumai buka layan vaksin i ii booster masyarakat 6 sampai 11 tahun dewasa lansia tempat pos polisi lintas 902 jalan putri tujuh dumai tuju cegah tular covid 19,positif
PirlErika,3/7/2022 4:32,mahkamah perancis putus orang ambil vaksin covid uji kaji mati mati bunuh,negatif
alep_o2,3/7/2022 4:31,kenang balit syukur paling sedikit keluarga kena covid vaksin booster i bayang kena before vaksin,netral
cristin23505456,3/7/2022 4:30,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat,positif
RismaII4,3/7/2022 4:27,ayo lawan covid lupa vaksin ya jaga protokol sehat dan vaksin indonesia sehat indonesia hebat satu lawan covid 19 negeri pulih dengan vaksin,positif
rusli_amarrul,3/7/2022 4:26,klw indonesia warga kandang paksa vaksin vaksin kartu vaksin sembako mall saudi masker turis polymerase chain reaction bye covid 19,netral
19yudith,3/7/2022 4:21,menteri komunikasi informatika kominfo lapor temu berita palsu putar vaksin covid 19 hingga rabu 232022 469 temu berita palsu sebar media sosial sebar capai 2659 konten,netral
19yudith,3/7/2022 4:21,sebar berita palsu vaksin covid 19,netral
SMART94309579,3/7/2022 4:19,sih pakai masker tular utama covid 19 butir cair droplet salur napas lontar bicara nyanyi batuk bersin patuh hindar kerumun vaksin tingkat kebal,netral
Riyad22775061,3/7/2022 4:18,salah vaksin covid 19 guna mutasi ribu varian covid baru berita palsu edar hlbk kepala lembaga biologi molekuler lembaga eijkman prof amin soebandrio,netral
Riyad22775061,3/7/2022 4:18,majelis ulama indonesia mui terbit fatwa mui nomor 8 2022 produk vaksin covid 19 merah putih fatwa mui vaksin merah putih produksi pt biotis pharmaceuticals universitas airlangga unair halal suci,positif
PirlErika,3/7/2022 4:16,mahkamah perancis putus orang ambil vaksin covid uji kaji mati mati bunuh,netral
Nurahman_imann,3/7/2022 4:14,indonesia disiplin protokol sehat optimis vaksinbooster pandemi endemi covid 19 hilang bumi tanah datar,positif
Nurahman_imann,3/7/2022 4:13,indonesia disiplin protokol sehat ajak masyarakat kabupaten tanah datar sukses vaksin lanjut booster covid 19,positif
Nurahman_imann,3/7/2022 4:13,indonesia disiplin protokol sehat jalan vaksin lanjut booster covid 19,positif
Nurahman_imann,3/7/2022 4:13,indonesia disiplin protokol sehat damping wakil bupati richi aprian suntik vaksinbooster covid 19 aula kantor bupati pagaruyung,positif
SamarindaUpdate,3/7/2022 4:10,via vaksin covid 19 ini astrazeneca pfizer sinovac sinopharm dosis 12az dosis 123 klinik kusuma bagai informasi untuk klinik kusuma ready vaksin yaa klinik sangkut vaksin maret samarinda,netral
SamarindaUpdate,3/7/2022 4:09,via vaksin covid 198 maret 2022 astrazeneca dosis 123by pusk sempaja alamat terterapusk loa bakung pfizer dosis 123 pusk sidomulyo pfizer dosis 23az dosis 12310 maret 2022 kantor kel sambut vaksin maret samarinda,netral
raratitihhh,3/7/2022 4:07,vaksin covid 19 ini astrazeneca pfizer sinovac sinopharm dosis 12az dosis 123 klinik kusuma bagai informasi untuk klinik kusuma ready vaksin yaa klinik sangkut,netral
BangPitung_AJW,3/7/2022 4:06,juli 2021 expos eksklusif data manipulasi ilmuwan studi dunia nyata cdc vaksin covid 19 aman hamil badan,positif
SinarOnline,3/7/2022 4:04,klinik siti health care organizer hco lantik raja sedia vaksin dosis booster masyarakat,netral
